STANOX NO.,FULL NAME,CRS CODE,NR ROUTE
66040,ALREWAS L.C.,,LNW
42412,ALSAGER,ASG,LNW
42413,ALSAGER UP & DN GDS LOOP,,LNW
66970,ALSTOM UK,,LNW
68077,ALSTONE C. SIDINGS,XCX,Western
68078,ALSTONE LEVEL CROSSING,,Western
50305,ALTHORNE,ALN,Anglia
22075,ALTHORPE,ALP,LNE
70093,ALTHORPE PARK (LNG BUCKBY),,LNW
1010,ALTNABREAC,ABC,Scotland
1011,ALTNABREAC C.E.,,Scotland
17196,ALTOFTS JN,,LNE
87021,ALTON,AON,Wessex
87023,ALTON MH,,Wessex
37225,ALTRINCHAM,ALT,LNW
66527,ALVECHURCH,ALV,LNW
2004,ALVES JN,,Scotland
57013,AMBERGATE,AMB,East Midlands
57110,AMBERGATE JN,XAJ,East Midlands
780,AMBERIEU,,Non Britain
87957,AMBERLEY,AMY,Sussex
70361,AMERSHAM,AMR,LNW
69003,AMINGTON JUNCTION,XIM,LNW
40021,AMLWCH,AMW,Wales
40022,AMLWCH,,Wales
79064,AMMANFORD,AMF,Wales
81233,A'MOUTH BENNETTS FASTLINE,,Western
62200,AMPTHILL TUNNELS,,East Midlands
950,AMSTERDAM C.S.,AMS,Non Britain
937,AMSTERDAM SCHIPHOL,,Non Britain
44101,ANCASTER,ANC,LNE
7253,ANDERSTON,AND,Scotland
86074,ANDOVER,ADV,Wessex
86054,ANDOVER SHUNT SIG BE5202,,Wessex
86073,ANDOVER SIDINGS,,Wessex
86072,ANDOVER YARD,,Wessex
87644,ANERLEY,ANZ,Sussex
51924,ANGEL ROAD,AGR,Anglia
88510,ANGERSTEIN JN,,Kent
88501,ANGERSTEIN WHARF,,Kent
88505,ANGERSTEIN WHARF - MARCON,,Kent
88506,ANGERSTEIN WHARF (BARDON),,Kent
88502,ANGERSTEIN WHARF (TARMAC),,Kent
88507,ANGERSTEIN WHARF FLHH,,Kent
65331,ANGLESEA,,LNW
87998,ANGMERING,ANG,Sussex
19107,ANLABY ROAD JN,,LNE
9033,ANNAN,ANN,Scotland
9032,ANNAN DRS ISU,,Scotland
8606,ANNBANK,,Scotland
6222,ANNIESLAND,ANL,Scotland
30037,ANSDELL & FAIRHAVEN,AFV,LNW
17053,APPERLEY JN,,LNE
9426,APPLEBY,APP,LNW
22005,APPLEBY LC,,LNE
9427,APPLEBY NORTH EAST SDGS,,LNW
89432,APPLEDORE (KENT),APD,Kent
74340,APPLEFORD,APF,Western
74339,APPLEFORD (ADVENZA),,Western
74342,APPLEFORD FHH,,Western
74341,APPLEFORD SIDINGS,,Western
23102,APPLEHURST JN,,LNE
35050,APPLEY BRIDGE,APB,LNW
35051,APPLEY BRIDGE WIMPEY,,LNW
71023,APSLEY,APS,LNW
3023,ARBROATH,ARB,Scotland
3026,ARBROATH CROSSOVER,,Scotland
3024,ARBROATH U.R.S.,,Scotland
3025,ARBRTH DS,,Scotland
89603,ARCHCLFJN,,Kent
1041,ARDGAY,ARD,Scotland
1042,ARDGAY C.E.,,Scotland
87965,ARDINGLY,,Sussex
87964,ARDINGLY HANSON AGGREGATES,,Sussex
49295,ARDLEIGH,,Anglia
69450,ARDLEY,,LNW
6059,ARDLUI,AUI,Scotland
6060,ARDLUI C.E.,,Scotland
8200,ARDROSSAN E.M.U. SDG,XAT,Scotland
8208,ARDROSSAN HARBOUR,ADS,Scotland
8198,ARDROSSAN SOUTH BEACH,ASB,Scotland
8204,ARDROSSAN TOWN,ADN,Scotland
32045,ARDWICK,ADK,LNW
32009,ARDWICK JN,,LNW
32043,ARDWICK T.M.D,XRK,LNW
32052,ARDWICK WEST SDGS (EWS),,LNW
7259,ARGYLE STREET,AGS,Scotland
6004,ARISAIG,ARG,Scotland
6003,ARISAIG C.E.,,Scotland
7149,ARKLESTON EAST,,Scotland
7147,ARKLESTON JN,,Scotland
7148,ARKLESTON WEST,,Scotland
23225,ARKSEY LOOP,,LNE
53201,ARLESEY,ARL,LNE
66195,ARLEY,,LNW
865,ARLON,,Non Britain
7324,ARMADALE,ARM,Scotland
9415,ARMATHWAITE,AWT,LNW
43335,ARMITAGE JN,,LNW
17136,ARMLEY JUNCTION,,LNE
11403,ARNSIDE,ARN,LNW
35533,ARPLEY JN,,LNW
35550,ARPLEY SIDINGS,,LNW
19019,ARRAM,ARR,LNE
743,ARRAS,,Non Britain
6101,ARROCHAR & TARBET,ART,Scotland
6102,ARROCHAR & TARBET C.E.,,Scotland
6107,ARROCHAR & TARBET URS AMEC,,Scotland
87958,ARUNDEL,ARU,Sussex
87959,ARUNDEL JN,XXA,Sussex
87103,ASCOT,ACT,Wessex
87096,ASCOT DOWN SIDING,,Wessex
87098,ASCOT SIGNAL F501,,Wessex
87095,ASCOT SIGNAL F504,,Wessex
87092,ASCOT SIGNAL F506,,Wessex
74463,ASCOTT-UNDER-WYCHWOOD,AUW,Western
59119,ASFORDBY COLLIERY,,East Midlands
87014,ASH,ASH,Wessex
32518,ASH BRIDGE JUNCTION,,LNW
